osm_id,name,n_parcels,n_non_cemetery,parcel_base,parcel_nc_base,parcel_elnino,parcel_nc_elnino,parcel_latest,parcel_nc_latest,parcel_gap_base,parcel_gap_base_nc
107017060,Canlubang Golf and Country Club,13,13,0.5357,0.5357,0.528,0.528,0.5387,0.5387,0.1275,0.1275
8791554,Orchard Residential Estate Golf and Country Club,7,3,0.3177,0.2754,0.2626,0.2528,0.3224,0.3115,0.2109,0.2532
2406385,Forest Hills Golf and Country Club,2,0,0.4,,0.3614,,0.3891,,0.2677,
106350883,Luisita Golf & Country Club,2,2,0.3754,0.3754,0.26,0.26,0.2816,0.2816,0.2145,0.2145
10296616,Eagle Ridge Golf Club,2,0,0.345,,0.2858,,0.3699,,0.2596,
18207481,Sun Valley Golf Club,2,0,0.4,,0.3614,,0.3891,,0.2283,
987623407,Sherwood Hills Golf Club,2,0,0.345,,0.2858,,0.3699,,0.1658,
1078077919,FA Korea Country Club,26,26,0.3586,0.3586,0.3171,0.3171,0.2187,0.2187,0.1306,0.1306
11907837,Riviera Golf Course,2,1,0.4743,0.5696,0.4086,0.5071,0.4791,0.5786,0.112,0.0167
347091162,D'heights Golf Course,4,4,0.4062,0.4062,0.3469,0.3469,0.3089,0.3089,0.292,0.292
146701718,Santa Elena Golf Course and Country Club,8,6,0.4507,0.4672,0.4277,0.4524,0.4548,0.4737,0.175,0.1585
16611953,Manila Southwoods Golf and Country Club,3,1,0.435,0.5977,0.4443,0.6778,0.4475,0.6965,0.1749,0.0122
4429331,Mimosa Golf & Country Club,27,27,0.3583,0.3583,0.3163,0.3163,0.219,0.219,0.1997,0.1997
82710489,Wack Wack Golf and Country Club,3,3,0.5401,0.5401,0.4522,0.4522,0.4771,0.4771,0.1207,0.1207
128948346,The Country Club,11,10,0.4721,0.4856,0.4605,0.4721,0.4738,0.4849,0.0665,0.053
5172611,Malarayat Golf Course,4,1,0.4704,0.5686,0.3815,0.5248,0.3886,0.4998,0.1648,0.0666
31712056,Eastridge Golf & Country Club,3,2,0.5542,0.6282,0.545,0.6367,0.5438,0.6164,0.0663,-0.0077
144672538,Tagaytay Midlands Golf Club,18,18,0.5359,0.5359,0.5572,0.5572,0.5861,0.5861,0.0194,0.0194
1571908,Southlinks Golf Club,8,6,0.3748,0.3752,0.3109,0.3152,0.3807,0.3897,0.186,0.1856
138947548,Summit Point Golf & Residential Estates,4,2,0.4547,0.5052,0.3466,0.4156,0.3527,0.3961,0.1514,0.1009
173399846,Air Force City Golf Course,28,27,0.3697,0.3583,0.3304,0.3163,0.2358,0.219,0.0192,0.0306
99512563,Royal Northwoods,1,0,0.3925,,0.2993,,0.3262,,0.2445,
286864651,Hallow Ridge Filipinas Golf,2,1,0.4879,0.5977,0.4945,0.6778,0.5049,0.6965,0.1081,-0.0017
4913973,Alabang Country Club,5,3,0.4344,0.4749,0.3457,0.3776,0.4222,0.4679,0.2148,0.1743
1262766897,South Forbes Golf Club,6,6,0.4906,0.4906,0.4687,0.4687,0.5016,0.5016,0.1531,0.1531
128616401,Villamor Air Base Golf Course,18,17,0.3798,0.3771,0.2977,0.2944,0.333,0.3299,0.2548,0.2575
269467713,Royal Garden Golf,16,14,0.3792,0.3597,0.3553,0.3322,0.2666,0.2378,0.0822,0.1017
8326757,Manila Golf and Country Club,17,16,0.3916,0.3895,0.3168,0.3146,0.3462,0.3437,0.3286,0.3307
942438304,Fernando Air Base Golf Club,6,3,0.508,0.5603,0.4221,0.4903,0.4038,0.4298,0.0637,0.0114
1520602515,Tagaytay Highlands International Golf Club,20,20,0.5404,0.5404,0.5578,0.5578,0.5829,0.5829,0.1027,0.1027
8212685,Veterans Memorial Medical Center Golf Course,1,1,0.6502,0.6502,0.6929,0.6929,0.7373,0.7373,-0.102,-0.102
1058754970,Fontana Golf,27,27,0.3583,0.3583,0.3163,0.3163,0.219,0.219,0.1842,0.1842
27832144,Philippine Navy Golf Club,19,18,0.3859,0.3837,0.311,0.3087,0.3422,0.3398,0.2347,0.2369
14196103,Capitol Hills Golf and Country Club,1,1,0.6502,0.6502,0.6929,0.6929,0.7373,0.7373,-0.0823,-0.0823
234890223,Banaba Golf Club,2,0,0.3469,,0.3133,,0.356,,0.1865,
27189526,Camp Aguinaldo Golf Course,3,3,0.5332,0.5332,0.4604,0.4604,0.5024,0.5024,0.0789,0.0789
30783169,Cattle Creek,3,0,0.3586,,0.3813,,0.4221,,0.2978,
27832178,Philippine Army Golf Club,18,17,0.3832,0.3807,0.3094,0.3068,0.3374,0.3346,0.2273,0.2298
318352365,Basa Air Base Golf Course,1,1,0.345,0.345,0.331,0.331,0.3305,0.3305,0.1401,0.1401
281980715,,8,8,0.5107,0.5107,0.499,0.499,0.5134,0.5134,-0.1846,-0.1846
137911884,Basa Air Base Golf Course,1,1,0.345,0.345,0.331,0.331,0.3305,0.3305,0.1808,0.1808
121047040,,27,25,0.376,0.3648,0.335,0.3205,0.2399,0.2216,0.1422,0.1534
703800716,,2,1,0.598,0.7899,0.597,0.8325,0.5806,0.7626,-0.0311,-0.223
184362383,Camp Aguinaldo Golf Course,3,3,0.5332,0.5332,0.4604,0.4604,0.5024,0.5024,0.0468,0.0468
184362384,Camp Aguinaldo Golf Course,3,3,0.5332,0.5332,0.4604,0.4604,0.5024,0.5024,0.1064,0.1064
16751280,Laguna Bel Air Mini Golf Course,6,5,0.4732,0.4748,0.4447,0.4611,0.4774,0.4862,0.2555,0.2539
703800717,,2,1,0.598,0.7899,0.597,0.8325,0.5806,0.7626,0.0413,-0.1506
35213090,Las Piñas Driving Range,4,2,0.4469,0.5228,0.39,0.4523,0.4346,0.4994,-0.0646,-0.1405
7588874,Driving range,2,1,0.4743,0.5696,0.4086,0.5071,0.4791,0.5786,-0.048,-0.1433
66703198,EG Golf & Driving Range,7,5,0.4189,0.3801,0.3751,0.3186,0.3226,0.2643,-0.1131,-0.0743
60121152,City Golf,2,2,0.4747,0.4747,0.3441,0.3441,0.3849,0.3849,-0.1395,-0.1395
1468599051,,1,0,0.2887,,0.2684,,0.3172,,0.0911,
702047132,,2,1,0.598,0.7899,0.597,0.8325,0.5806,0.7626,0.016,-0.1759
1468599052,,1,0,0.2887,,0.2684,,0.3172,,0.0818,
32775560,,3,3,0.5332,0.5332,0.4604,0.4604,0.5024,0.5024,0.0545,0.0545
1468599053,,1,0,0.2887,,0.2684,,0.3172,,0.211,
1468599054,,1,0,0.2887,,0.2684,,0.3172,,0.2285,
